date,temperature,city
2017-03-10,18.9,Waihee
2017-03-11,27.2,Waihee
2017-03-12,20.6,Waihee
2017-03-13,18.9,Waihee
2017-03-14,19.4,Waihee
2017-03-15,20.6,Waihee
2017-03-16,18.9,Waihee
2017-03-17,20.0,Waihee
2017-03-18,18.3,Waihee
2017-03-19,23.3,Waihee
2017-03-20,20.6,Waihee
2017-03-21,22.2,Waihee
2017-03-22,22.8,Waihee
2017-03-23,22.2,Waihee
2017-03-24,21.7,Waihee
2017-03-25,24.4,Waihee
2017-03-26,25.0,Waihee
2017-03-27,24.4,Waihee
2017-03-28,23.3,Waihee
2017-03-29,20.0,Waihee
2017-03-30,22.8,Waihee
2017-03-31,21.7,Waihee
2017-04-01,23.3,Waihee
2017-04-02,23.9,Waihee
2017-04-03,21.1,Waihee
2017-04-04,19.4,Waihee
2017-04-05,21.7,Waihee
2017-04-06,19.4,Waihee
2017-04-07,23.3,Waihee
2017-04-08,25.0,Waihee
2017-04-09,25.6,Waihee
2017-04-10,19.4,Waihee
2017-04-11,21.1,Waihee
2017-04-12,20.6,Waihee
2017-04-13,20.6,Waihee
2017-04-14,23.3,Waihee
2017-04-15,25.6,Waihee
2017-04-16,21.7,Waihee
2017-04-17,19.4,Waihee
2017-04-18,20.0,Waihee
2017-04-19,19.4,Waihee
2017-04-20,24.4,Waihee
2017-04-21,20.6,Waihee
2017-04-22,22.2,Waihee
2017-04-23,24.4,Waihee
2017-04-24,20.0,Waihee
2017-04-25,22.2,Waihee
2017-04-26,23.3,Waihee
2017-04-27,21.1,Waihee
2017-04-28,19.4,Waihee
2017-04-29,22.2,Waihee
2017-04-30,15.6,Waihee
2017-05-01,18.3,Waihee
2017-05-02,23.9,Waihee
2017-05-03,21.1,Waihee
2017-05-04,23.9,Waihee
2017-05-05,21.1,Waihee
2017-05-06,26.1,Waihee
2017-05-07,23.9,Waihee
2017-05-08,21.1,Waihee
2017-05-09,19.4,Waihee
2017-05-10,23.3,Waihee
2017-05-11,21.1,Waihee
2017-05-12,23.9,Waihee
2017-05-13,24.4,Waihee
2017-05-14,25.0,Waihee
2017-05-15,23.3,Waihee
2017-05-16,23.3,Waihee
2017-05-17,23.3,Waihee
2017-05-18,20.6,Waihee
2017-05-19,20.0,Waihee
2017-05-20,24.4,Waihee
2017-05-21,23.3,Waihee
2017-05-22,21.7,Waihee
2017-05-23,21.7,Waihee
2017-05-24,23.3,Waihee
2017-05-25,23.3,Waihee
2017-05-26,23.3,Waihee
2017-05-27,23.3,Waihee
2017-05-28,26.7,Waihee
2017-05-29,23.3,Waihee
2017-05-30,22.2,Waihee
2017-05-31,23.9,Waihee
2017-06-01,26.7,Waihee
2017-06-02,24.4,Waihee
2017-06-03,24.4,Waihee
2017-06-04,25.0,Waihee
2017-06-05,23.9,Waihee
2017-06-06,23.9,Waihee
2017-06-07,23.9,Waihee
2017-06-08,23.9,Waihee
2017-06-09,22.2,Waihee
2017-06-10,23.3,Waihee
2017-06-11,23.3,Waihee
2017-06-12,23.3,Waihee
2017-06-13,24.4,Waihee
2017-06-14,23.3,Waihee
2017-06-15,23.9,Waihee
2017-06-16,22.8,Waihee
2017-06-17,26.1,Waihee
2017-06-18,23.9,Waihee
2017-06-19,22.2,Waihee
2017-06-20,22.2,Waihee
2017-06-21,23.3,Waihee
2017-06-22,22.2,Waihee
2017-06-23,22.2,Waihee
2017-06-24,25.0,Waihee
2017-06-25,21.7,Waihee
2017-06-26,22.8,Waihee
2017-06-27,24.4,Waihee
2017-06-28,25.0,Waihee
2017-06-29,24.4,Waihee
2017-06-30,24.4,Waihee
2017-07-01,26.1,Waihee
2017-07-02,27.2,Waihee
2017-07-03,24.4,Waihee
2017-07-04,25.6,Waihee
2017-07-05,25.0,Waihee
2017-07-06,23.3,Waihee
2017-07-07,23.9,Waihee
2017-07-08,25.6,Waihee
2017-07-09,25.6,Waihee
2017-07-10,20.6,Waihee
2017-07-11,22.2,Waihee
2017-07-12,23.3,Waihee
2017-07-13,23.3,Waihee
2017-07-14,24.4,Waihee
2017-07-15,26.7,Waihee
2017-07-16,26.7,Waihee
2017-07-17,24.4,Waihee
2017-07-18,24.4,Waihee
2017-07-19,24.4,Waihee
2017-07-20,25.0,Waihee
2017-07-21,25.0,Waihee
2017-07-22,25.0,Waihee
2017-07-23,27.8,Waihee
2017-07-24,23.9,Waihee
2017-07-25,25.0,Waihee
2017-07-26,23.9,Waihee
2017-07-27,24.4,Waihee
2017-07-28,27.2,Waihee
2017-07-29,27.8,Waihee
2017-07-30,27.2,Waihee
2017-07-31,24.4,Waihee
2017-08-04,25.0,Waihee
2017-08-05,27.8,Waihee
2017-08-06,28.3,Waihee
2017-08-13,25.0,Waihee
2017-08-14,25.0,Waihee
2017-08-15,25.0,Waihee
2017-08-16,24.4,Waihee
2017-08-17,24.4,Waihee
2017-08-18,26.1,Waihee
